POX 0.2.0 (carp) / Copyright 2011-2013 James McCauley, et al.
WARNING:t1_controller:Hub Controller launched
DEBUG:core:POX 0.2.0 (carp) going up...
DEBUG:core:Running on CPython (2.7.6/Mar 22 2014 22:59:56)
DEBUG:core:Platform is Linux-3.13.0-24-generic-x86_64-with-Ubuntu-14.04-trusty
INFO:core:POX 0.2.0 (carp) is up.
DEBUG:openflow.of_01:Listening on 0.0.0.0:6633
INFO:openflow.of_01:[None 1] closed
INFO:openflow.of_01:[00-00-00-00-00-03 4] connected
DEBUG:t1_controller:Connected and controlling switch: [00-00-00-00-00-03 4].
INFO:openflow.of_01:[00-00-00-00-00-01 2] connected
DEBUG:t1_controller:Connected and controlling switch: [00-00-00-00-00-01 2].
INFO:openflow.of_01:[00-00-00-00-00-02 3] connected
DEBUG:t1_controller:Connected and controlling switch: [00-00-00-00-00-02 3].
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-01 2] Got new packet (00:00:00:00:00:02 (2) -> 00:00:00:00:00:01), flooding...
DEBUG:t1_controller:[00-00-00-00-00-03 4] Got new packet (00:00:00:00:00:01 (1) -> 00:00:00:00:00:02), flooding...
DEBUG:t1_controller:[00-00-00-00-00-02 3] Got new packet (00:00:00:00:00:02 (1) -> 00:00:00:00:00:01), flooding...
